Rain	Eto	Tmin	T	Tmax	CO2	Radiation	
0	3.5	8	13.5	19	404.45	19.66	
0	3.9	7	13.5	20	404.45	21.4	
0	4.3	3	11.5	20	404.45	24.51	
0	3.5	10	15	20	404.45	18.82	
14.5	3.9	11	16.5	22	404.45	19.76	
13	3.8	10	15.5	21	404.45	19.78	
1.5	2.6	10	13	16	404.45	14.63	
39.9	3.1	11	15	19	404.45	16.9	
0	3.5	10	15	20	404.45	18.92	
15	3.9	11	16.5	22	404.45	19.86	
12.2	2.1	11	13	15	404.45	11.99	
1	3.3	10	14.5	19	404.45	18	
11.4	3.8	10	15.5	21	404.45	19.91	
0	3.1	10	14	18	404.45	16.99	
0	3.6	10	15	20	404.45	19.01	
0	3.8	8	14	20	404.45	20.84	
0	4	8	14.5	21	404.45	21.7	
0	3.6	8	13.5	19	404.45	19.97	
0.5	3.2	9	13.5	18	404.45	18.07	
0	3	12	15.5	19	404.45	15.95	
1	2.7	12	15	18	404.45	14.77	
3	3.2	11	15	19	404.45	17.06	
3.8	2.7	11	14	17	404.45	14.78	
0	3.8	10	15.5	21	404.45	20.01	
3	2.9	11	14.5	18	404.45	15.97	
5.1	3.9	11	16.5	22	404.45	20.02	
0	2.9	10	13.5	17	404.45	15.97	
4.3	3.8	8	14	20	404.45	20.91	
0.3	2.4	11	13.5	16	404.45	13.5	
0	3	12	15.5	19	404.45	15.97	
2	3.3	12	16	20	404.5	17.07	
0	3.8	10	15.5	21	404.5	20.01	
0	4.3	8	15	22	404.5	22.57	
0	4.4	7	14.5	22	404.5	23.35	
0	4.8	3	12.5	22	404.5	26.28	
0	4.6	3	12	21	404.5	25.57	
0	4.4	5	13	21	404.5	24.09	
31	4.3	8	15	22	404.5	22.53	
7.9	3.4	11	15.5	20	404.5	18.05	
0	3.8	10	15.5	21	404.5	19.95	
0	3.5	12	16.5	21	404.5	18.03	
0	3.4	11	15.5	20	404.5	18.02	
0	3.6	11	16	21	404.5	18.98	
2	2.7	12	15	18	404.5	14.69	
0.3	3.5	9	14	19	404.5	18.95	
0	3.6	8	13.5	19	404.5	19.86	
0	3.7	9	14.5	20	404.5	19.84	
0	3.7	9	14.5	20	404.5	19.83	
0	3.6	11	16	21	404.5	18.89	
0	3	12	15.5	19	404.5	15.79	
0	3.4	11	15.5	20	404.5	17.88	
1.3	3.9	9	15	21	404.5	20.63	
0	4	10	16	22	404.5	20.61	
0	3.5	10	15	20	404.5	18.79	
0	2.7	9	12.5	16	404.5	15.71	
1.5	3.3	10	14.5	19	404.5	17.79	
0	4	8	14.5	21	404.5	21.36	
0	2.9	12	15.5	19	404.5	15.65	
0	3.1	11	15	19	404.5	16.71	
84.8	2.7	12	15	18	404.5	14.46	
1	3.4	12	16.5	21	404.77	17.68	
3	2.6	11	14	17	404.77	14.42	
7.1	2.7	12	15	18	404.77	14.4	
7.9	3.3	11	15.5	20	404.77	17.62	
7.9	3.5	10	15	20	404.77	18.55	
5.1	3.1	11	15	19	404.77	16.57	
13	3.6	9	14.5	20	404.77	19.41	
6.1	2.7	12	15	18	404.77	14.31	
1	2.4	12	14.5	17	404.77	13.05	
7.1	2.9	12	15.5	19	404.77	15.42	
3	3.2	12	16	20	404.77	16.46	
2	3.1	12	16	20	404.77	16.44	
20.1	3.1	12	16	20	404.77	16.42	
33	4.8	1	11.5	22	404.77	26.57	
0	4.5	1	11	21	404.77	25.9	
0	3.6	12	17	22	404.77	18.29	
2	3.9	8	14.5	21	404.77	20.83	
0	3.8	12	17.5	23	404.77	19.14	
0	3.9	10	16	22	404.77	19.96	
0.5	3	11	15	19	404.77	16.28	
0	3.5	11	16	21	404.77	18.18	
0	2.6	9	12.5	16	404.77	15.19	
0	3.7	8	14	20	404.77	19.87	
0.3	3.4	10	15	20	404.77	18.12	
0	3.2	10	14.5	19	404.77	17.17	
0	3.7	9	15	21	404.77	19.8	
0	3.7	7	13.5	20	404.77	20.59	
0	3.6	8	14	20	404.77	19.76	
0	3.6	8	14	20	404.77	19.74	
0	3.5	9	14.5	20	404.77	18.88	
0.3	3.6	8	14	20	404.77	19.7	
0.8	3.2	11	15.5	20	405.04	17.05	
0	2.9	10	14	18	405.04	16.06	
0	3.7	9	15	21	405.04	19.65	
2	3	11	15	19	405.04	16.03	
0	3.3	9	14	19	405.04	17.91	
7.9	3.8	8	14.5	21	405.04	20.4	
0.8	2.8	12	15.5	19	405.04	14.96	
2	3.1	10	14.5	19	405.04	16.95	
0.5	3.7	9	15	21	405.04	19.56	
0	3.2	11	15.5	20	405.04	16.93	
10.9	3.7	9	15	21	405.04	19.54	
24.9	3.1	12	16	20	405.04	15.95	
0	3.2	11	15.5	20	405.04	16.91	
0	3.1	12	16	20	405.04	15.93	
0	2.6	12	15	18	405.04	13.79	
0	3.7	9	15	21	405.04	19.5	
0	3.2	8	13	18	405.04	17.79	
3	3.3	10	15	20	405.04	17.79	
0	3.2	11	15.5	20	405.04	16.87	
3	3.2	11	15.5	20	405.04	16.87	
0.5	3.2	11	15.5	20	405.04	16.87	
4.1	3.5	9	14.5	20	405.04	18.65	
1.5	3.6	10	15.5	21	405.04	18.65	
0.3	3.1	10	14.5	19	405.04	16.87	
0	3.7	9	15	21	405.04	19.48	
0	3.4	8	13.5	19	405.04	18.65	
1	3.3	10	15	20	405.04	17.78	
0	3.3	10	15	20	405.04	17.79	
0.5	3.3	10	15	20	405.04	17.79	
1	3.4	11	16	21	405.04	17.79	
0	3.3	10	15	20	405.18	17.8	
5.6	3	11	15	19	405.18	15.93	
1.3	3.3	10	15	20	405.18	17.81	
0	3.3	9	14	19	405.18	17.82	
0.3	3.6	6	12.5	19	405.18	20.33	
0	3	11	15	19	405.18	15.96	
0	3.1	10	14.5	19	405.18	16.93	
0.5	3.4	8	13.5	19	405.18	18.73	
5.1	3.3	9	14	19	405.18	17.87	
0.3	3.4	10	15	20	405.18	17.88	
2.5	3.4	10	15	20	405.18	17.89	
0	2.5	11	14	17	405.18	13.87	
0	3.3	9	14	19	405.18	17.92	
0	3	8	12.5	17	405.18	17.01	
1	3.4	8	13.5	19	405.18	18.83	
6.1	4.2	7	14.5	22	405.18	22	
4.1	3.1	10	14.5	19	405.18	17.06	
0.3	3.2	11	15.5	20	405.18	17.07	
0	3.5	9	14.5	20	405.18	18.89	
0	3	11	15	19	405.18	16.13	
0	3.7	9	15	21	405.18	19.77	
0.5	3.6	10	15.5	21	405.18	18.95	
0	3.1	12	16	20	405.18	16.18	
0.3	3.2	10	14.5	19	405.18	17.17	
0	3.1	12	16	20	405.18	16.21	
0	2.7	10	13.5	17	405.18	15.18	
0	3.6	7	13	19	405.18	19.9	
1	3	11	15	19	405.18	16.26	
0	3.2	10	14.5	19	405.18	17.27	
0	2.4	12	14.5	17	405.18	12.88	
0	3.1	9	13.5	18	405.18	17.31	
0	3.3	9	14	19	405.11	18.26	
0	4.4	5	13.5	22	405.11	23.84	
0	4.3	6	14	22	405.11	23.15	
0	3.3	9	14	19	405.11	18.32	
0	3.1	11	15	19	405.11	16.41	
0	3.8	7	13.5	20	405.11	20.94	
0	3.6	9	14.5	20	405.11	19.28	
8.9	3.4	10	15	20	405.11	18.41	
0	3.5	10	15	20	405.11	18.43	
0	4.2	5	13	21	405.11	23.34	
0	3.8	9	15	21	405.11	20.23	
0	3.4	9	14	19	405.11	18.49	
0	3.8	7	13.5	20	405.11	21.1	
0	4.4	6	14	22	405.11	23.44	
0	3.9	8	14.5	21	405.11	21.15	
0	3.2	10	14.5	19	405.11	17.61	
0	4.3	9	16	23	405.11	21.99	
39.9	3.7	10	15.5	21	405.11	19.51	
5.1	3.1	8	12.5	17	405.11	17.66	
0	3.7	10	15.5	21	405.11	19.55	
0	3.8	8	14	20	405.11	20.43	
0	3.8	6	12.5	19	405.11	21.29	
3	4	6	13	20	405.11	22.11	
1	4	6	13	20	405.11	22.13	
0	3.3	8	13	18	405.11	18.72	
2	4	8	14.5	21	405.11	21.36	
0	3.9	7	13.5	20	405.11	21.37	
0	3.5	10	15	20	405.11	18.76	
1	3.7	5	11.5	18	405.11	21.4	
0.8	3.4	9	14	19	405.11	18.78	
0	3.9	9	15	21	405.11	20.59	
1	4.6	4	13	22	405.19	25.23	
0	3.7	9	14.5	20	405.19	19.73	
0	3.8	8	14	20	405.19	20.62	
0	4	6	13	20	405.19	22.28	
0	4.3	5	13	21	405.19	23.83	
0	4.3	5	13	21	405.19	23.83	
2	3.8	10	15.5	21	405.19	19.77	
4.1	2.9	11	14.5	18	405.19	15.77	
0.8	3.3	10	14.5	19	405.19	17.89	
2	4	8	14.5	21	405.19	21.5	
0	4.3	9	16	23	405.19	22.32	
0	4.3	5	13	21	405.19	23.86	
0	3.9	9	15	21	405.19	20.66	
0	3.8	8	14	20	405.19	20.66	
0	3.5	10	15	20	405.19	18.86	
0	3.7	7	13	19	405.19	20.66	
0.3	3.5	10	15	20	405.19	18.86	
0	3.7	9	14.5	20	405.19	19.77	
0	4.1	7	14	21	405.19	22.3	
0	3.2	12	16	20	405.19	16.85	
0	4.1	9	15.5	22	405.19	21.48	
0	4.2	6	13.5	21	405.19	23.06	
2	3.6	8	13.5	19	405.19	19.74	
0	3.5	10	15	20	405.19	18.81	
0	3.7	9	14.5	20	405.19	19.72	
0.3	3.8	6	12.5	19	405.19	21.42	
0	4.7	3	12.5	22	405.19	25.88	
1	3.5	8	13.5	19	405.19	19.68	
