Rain	Eto	Tmin	T	Tmax	CO2	Radiation	
0	3.8	6	12.5	19	407.69	21.46
0	3.4	11	15.5	20	407.69	17.86
0	3.3	10	14.5	19	407.69	17.87
7.1	2.9	11	14.5	18	407.69	15.77
13	2.6	11	14	17	407.69	14.6
4.1	3.1	11	15	19	407.69	16.86
0	3.7	9	14.5	20	407.69	19.78
4.1	3.6	8	13.5	19	407.69	19.78
4.1	3.1	10	14	18	407.69	16.87
2	3.7	9	14.5	20	407.69	19.78
1	3.3	10	14.5	19	407.69	17.9
1	3.6	8	13.5	19	407.69	19.78
4.1	3.1	10	14	18	407.69	16.87
0	3.4	9	14	19	407.69	18.86
38.1	4.7	6	14.5	23	407.69	24.59
0	3.8	10	15.5	21	407.69	19.77
0	3.9	7	13.5	20	407.69	21.49
0	3.8	10	15.5	21	407.69	19.76
0	4.4	4	12.5	21	407.69	24.56
0	3.5	10	15	20	407.69	18.83
0.3	3.9	7	13.5	20	407.69	21.46
0	3.5	10	15	20	407.69	18.81
0	3.8	8	14	20	407.69	20.59
0	3.6	8	13.5	19	407.69	19.7
0	2.9	11	14.5	18	407.69	15.71
0	4.4	6	14	22	407.69	23.73
0	4.2	10	16.5	23	407.69	21.38
2	4.1	9	15.5	22	407.69	21.36
1	4.2	8	15	22	407.93	22.15
0	4.3	9	16	23	407.93	22.13
2	3.8	8	14	20	407.93	20.47
0	3.3	11	15.5	20	407.93	17.71
9.9	3.6	9	14.5	20	407.93	19.56
6.1	2.6	11	14	17	407.93	14.43
0	3.1	11	15	19	407.93	16.64
3	3.7	10	15.5	21	407.93	19.49
5.1	3.7	10	15.5	21	407.93	19.47
12.2	3.1	11	15	19	407.93	16.58
2	3.2	10	14.5	19	407.93	17.57
0	3.4	9	14	19	407.93	18.49
0	3.5	10	15	20	407.93	18.47
0	3.5	11	16	21	407.93	18.44
0	3.9	10	16	22	407.93	20.18
0	3.7	8	14	20	407.93	20.15
10.9	4.1	8	15	22	407.93	21.73
0	4.1	6	13.5	21	407.93	22.46
0	3.7	10	15.5	21	407.93	19.2
5.1	3.4	10	15	20	407.93	18.28
1	3.3	9	14	19	407.93	18.25
3	3.7	8	14	20	407.93	19.96
1	3.4	12	16.5	21	407.93	17.26
2	3.6	10	15.5	21	407.93	19.05
11.9	3.6	10	15.5	21	407.93	19.02
1	3	11	15	19	407.93	16.19
0	3.2	11	15.5	20	407.93	17.15
7.1	3.7	7	13.5	20	407.93	20.57
0	3.2	10	14.5	19	407.93	17.09
0	3.6	8	14	20	407.93	19.7
0	3.6	8	14	20	407.93	19.66
0	3.6	8	14	20	408.18	19.63
0	3.6	8	14	20	408.18	19.6
25.9	3.7	9	15	21	408.18	19.56
0.5	3.8	8	14.5	21	408.18	20.33
0	2.6	12	15	18	408.18	13.78
0.3	3.4	11	16	21	408.18	17.76
0	3	12	16	20	408.18	15.86
0	3.8	10	16	22	408.18	19.39
13	2.7	11	14.5	18	408.18	14.79
0.8	2.8	12	15.5	19	408.18	14.76
0	3.2	11	15.5	20	408.18	16.71
0	3.2	11	15.5	20	408.18	16.68
0.5	3.2	9	14	19	408.18	17.55
0	4.1	7	14.5	22	408.18	21.46
0	3.9	8	15	22	408.18	20.7
0	3.6	11	16.5	22	408.18	18.32
9.9	3.7	10	16	22	408.18	19.11
0.3	3.1	11	15.5	20	408.18	16.52
0	3.1	11	15.5	20	408.18	16.5
0	3.6	11	16.5	22	408.18	18.21
0	3.6	9	15	21	408.18	18.99
0.5	3.6	11	16.5	22	408.18	18.16
0	3.5	10	15.5	21	408.18	18.13
35.1	3.9	8	15	22	408.18	20.43
0	3.1	11	15.5	20	408.18	16.36
0	3.5	10	15.5	21	408.18	18.06
2	3.4	9	14.5	20	408.18	18.04
0	3.2	10	15	20	408.18	17.18
35.1	4	9	16	23	408.18	20.3
7.1	2.9	12	16	20	408.18	15.33
0	3.8	7	14	21	408.45	20.26
0	4	5	13	21	408.45	21.63
0	3.8	7	14	21	408.45	20.22
0	3.4	8	14	20	408.45	18.7
0	3.6	5	12	19	408.45	20.18
0	3.1	9	14	19	408.45	17.04
0	3.4	10	15.5	21	408.45	17.86
0	3.6	8	14.5	21	408.45	19.4
0	3.8	6	13.5	21	408.45	20.83
0	3.9	5	13	21	408.45	21.5
0	3.3	7	13	19	408.45	18.61
0	2.9	9	13.5	18	408.45	16.11
0	3.3	9	14.5	20	408.45	17.8
0	3.2	8	13.5	19	408.45	17.8
0	4.2	4	13	22	408.45	22.76
0	4.1	5	13.5	22	408.45	22.12
0	4	4	12.5	21	408.45	22.11
